,Step,Model Term,Number of Terms,Log-Likelihood,Model Degree of Freedom,Akaike Information Criterion,Bayesian Information Criterion,Sample Size,Accuracy of TestData,RMSE of TestData
59,59,"['f_marital', 'f_mile_fire_station', 'f_aoi_tier']",3,-20673.91053386937,30,41407.82106773874,41645.71326544914,20532,0.00028649190660363845,1.783834523336347
60,60,"['f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",3,-20641.42148754329,24,41330.84297508658,41521.15673325491,20532,0.0,1.7851991398885656
61,61,"['f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",3,-20671.724174281062,27,41397.448348562124,41611.55132650149,20532,0.0005729838132072769,1.7844768258230312
62,62,"['f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",3,-20653.84423317909,30,41367.68846635818,41605.580664068584,20532,0.0005729838132072769,1.7831116564834573
63,63,"['f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",3,-20579.30037044548,30,41218.60074089096,41456.49293860136,20532,0.002721673112734565,1.7794124175646893
64,64,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_residence_location']",4,-20504.827826188623,30,41069.655652377245,41307.54785008765,20532,0.0,1.7851991398885656
65,65,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_fire_alarm_type']",4,-20416.672709759452,30,40893.345419518904,41131.23761722931,20532,0.001289213579716373,1.7828706357353492
66,66,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_mile_fire_station']",4,-20413.768775752673,33,40893.537551505346,41155.218968986796,20532,0.0011459676264145538,1.783473126533421
67,67,"['f_primary_age_tier', 'f_primary_gender', 'f_marital', 'f_aoi_tier']",4,-20431.920404155266,36,40935.84080831053,41221.31144556302,20532,0.005156854318865492,1.7742528201360648
68,68,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_fire_alarm_type']",4,-20408.75957615437,30,40877.51915230874,41115.411350019145,20532,0.0021486892995272885,1.7817454411545208
69,69,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_mile_fire_station']",4,-20394.631407831585,33,40855.26281566317,41116.94423314462,20532,0.002578427159432746,1.7806195355500474
70,70,"['f_primary_age_tier', 'f_primary_gender', 'f_residence_location', 'f_aoi_tier']",4,-20422.741000946688,36,40917.482001893375,41202.952639145864,20532,0.005729838132072769,1.773243333817509
71,71,"['f_primary_age_tier', 'f_primary_gender', 'f_fire_alarm_type', 'f_mile_fire_station']",4,-20315.8868752513,33,40697.7737505026,40959.45516798405,20532,0.008451511244807334,1.7641319625910428
72,72,"['f_primary_age_tier', 'f_primary_gender', 'f_fire_alarm_type', 'f_aoi_tier']",4,-20334.005720867302,36,40740.011441734605,41025.482078987094,20532,0.008308265291505515,1.7625885042203853
73,73,"['f_primary_age_tier', 'f_primary_gender', 'f_mile_fire_station', 'f_aoi_tier']",4,-20330.457282860913,39,40738.914565721825,41048.17442274535,20532,0.006732559805185503,1.7699281772878481
74,74,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_fire_alarm_type']",4,-20408.83745181673,33,40883.67490363346,41145.35632111491,20532,0.0028649190660363843,1.77933191391511
75,75,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_mile_fire_station']",4,-20395.11261179458,36,40862.22522358916,41147.695860841646,20532,0.0022919352528291076,1.7811021536739795
76,76,"['f_primary_age_tier', 'f_marital', 'f_residence_location', 'f_aoi_tier']",4,-20422.78028605837,39,40923.56057211674,41232.820429140265,20532,0.0053001002721673116,1.773808716934963
77,77,"['f_primary_age_tier', 'f_marital', 'f_fire_alarm_type', 'f_mile_fire_station']",4,-20316.283457502617,36,40704.566915005234,40990.03755225772,20532,0.00916774101131643,1.7639695568864326
78,78,"['f_primary_age_tier', 'f_marital', 'f_fire_alarm_type', 'f_aoi_tier']",4,-20334.042356190133,39,40746.08471238027,41055.344569403795,20532,0.008308265291505515,1.7624665946763218
79,79,"['f_primary_age_tier', 'f_marital', 'f_mile_fire_station', 'f_aoi_tier']",4,-20330.82494371709,42,40745.64988743418,41078.698964228744,20532,0.007735281478298238,1.7674985135946721
80,80,"['f_primary_age_tier', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",4,-20296.367498892625,36,40664.73499778525,40950.20563503774,20532,0.00931098696461825,1.7614096918559585
81,81,"['f_primary_age_tier', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",4,-20325.43008482521,39,40728.86016965042,41038.12002667395,20532,0.010170462684429164,1.7588868222428042
82,82,"['f_primary_age_tier', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",4,-20311.2669035717,42,40706.5338071434,41039.58288393797,20532,0.00931098696461825,1.7648626033192378
83,83,"['f_primary_age_tier', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",4,-20231.511843568333,42,40547.023687136665,40880.07276393123,20532,0.015757054863200115,1.746053728876239
84,84,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_fire_alarm_type']",4,-20751.215416310308,24,41550.430832620616,41740.74459078894,20532,0.0,1.7851991398885656
85,85,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_mile_fire_station']",4,-20732.993834047124,27,41519.98766809425,41734.09064603361,20532,0.0,1.7851991398885656
86,86,"['f_primary_gender', 'f_marital', 'f_residence_location', 'f_aoi_tier']",4,-20762.506339386608,30,41585.012678773215,41822.90487648362,20532,0.0,1.7851991398885656
87,87,"['f_primary_gender', 'f_marital', 'f_fire_alarm_type', 'f_mile_fire_station']",4,-20659.73652047052,27,41373.47304094104,41587.576018880405,20532,0.0,1.7851991398885656
88,88,"['f_primary_gender', 'f_marital', 'f_fire_alarm_type', 'f_aoi_tier']",4,-20678.952734838713,30,41417.905469677426,41655.79766738783,20532,0.0004297378599054577,1.783834523336347
89,89,"['f_primary_gender', 'f_marital', 'f_mile_fire_station', 'f_aoi_tier']",4,-20671.671924118556,33,41409.34384823711,41671.02526571856,20532,0.0005729838132072769,1.783312482223373
90,90,"['f_primary_gender', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",4,-20638.99637298648,27,41331.99274597296,41546.09572391232,20532,0.0,1.7851991398885656
91,91,"['f_primary_gender', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",4,-20669.81291520664,30,41399.62583041328,41637.51802812368,20532,0.0008594757198109154,1.782950979604872
92,92,"['f_primary_gender', 'f_residence_location', 'f_mile_fire_station', 'f_aoi_tier']",4,-20651.54373610916,33,41369.08747221832,41630.76888969977,20532,0.0005729838132072769,1.783312482223373
93,93,"['f_primary_gender', 'f_fire_alarm_type', 'f_mile_fire_station', 'f_aoi_tier']",4,-20577.019562608853,33,41220.03912521771,41481.72054269916,20532,0.002721673112734565,1.7794124175646893
94,94,"['f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_mile_fire_station']",4,-20639.589748794602,30,41339.179497589204,41577.07169529961,20532,0.0,1.7851991398885656
95,95,"['f_marital', 'f_residence_location', 'f_fire_alarm_type', 'f_aoi_tier']",4,-20670.001424290516,33,41406.00284858103,41667.68426606248,20532,0.0007162297665090961,1.7841155591271898
